id,name,Gross,company
648,Final Portrait,461972,SPC
649,Scotty and the Secret History of Hollywood,461689,Greenwich
650,South Pacific (60th Anniversary),458000,Fathom
651,Condorito: La Pelicula,447719,LGF
652,Perfect Blue (2018 re-release),446062,GK
653,Porco Rosso - Studio Ghibli Fest 2018,443059,Fathom
654,Elf (15th Anniversary),442073,WB
655,DCI 2018: Tour Premiere,434008,Fathom
656,The Shining (2018 re-issue),421572,WB
657,NT LIVE: FRANKENSTEIN Cumberbatch as Creature,417783,Fathom
658,Cirque du Soleil: KURIOS - Cabinet Of Curiosities,413039,Fathom
659,Bag of Marbles,411318,Gaum.
660,"Night Is Short, Walk On Girl",406490,GK
661,The Philadelphia Story (2018 re-release),404524,Fathom
662,The Oath (2018),401463,RAtt.
663,We the Animals,400961,Orch.
"The Gospel According to Andr?,Magn.",<blank>,400713.00,664
665,Leaning Into The Wind,400530,Magn.
666,TCM: West Side Story,398670,Fathom
667,RiffTrax Live: Space Mutiny,397887,Fathom
668,RiffTrax Live: Krull,397157,Fathom
669,Vertigo (60th Anniversary),394212,Fathom
670,Soorma,390077,Sony
671,Attack on Titan Season 3,377334,FUN
672,The Dark Knight (10th Anniversary),375589,WB
673,Oh Lucy!,375391,FM
674,Grace Jones: Bloodlight and Bami,375208,KL
675,Jurassic Park (25th Anniversary),374238,Fathom
676,Pom Poko - Studio Ghibli Fest 2018,372405,Fathom
677,Believer,365639,WGUSA
678,Mountain,365412,Greenwich
679,Kusama: Infinity,360931,Magn.
680,The Wizard of Oz (2018 re-issue),351839,WB
681,Suicide: The Ripple Effect,347468,Gathr
